COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,NUMBER_VACCINES_TYPES_USED
Kiribati,KIR,WPRO,REPORTING,11/19/2021,82167,59492,68.788,49.805,22675,18.983,2
Iraq,IRQ,EMRO,REPORTING,12/14/2021,13360483,8111496,33.216,20.167,5241122,13.03,4
Argentina,ARG,AMRO,REPORTING,12/10/2021,70657836,37301736,156.337,82.534,30780560,68.105,7
Palau,PLW,WPRO,REPORTING,12/7/2021,34907,18389,192.942,101.642,15748,87.044,3
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,12/10/2021,56838,31993,51.233,28.838,23908,21.55,5
Nepal,NPL,SEARO,REPORTING,12/6/2021,19157444,10431659,65.75,35.802,8725785,29.948,7
Tokelau,TKL,WPRO,REPORTING,9/28/2021,1936,968,143.407,71.704,968,71.704,1
Eswatini,SWZ,AFRO,REPORTING,12/14/2021,375012,320460,32.324,27.622,292063,25.174,3
Sri Lanka,LKA,SEARO,REPORTING,12/7/2021,29720188,15948495,138.793,74.48,13771693,64.314,6
Myanmar,MMR,SEARO,REPORTING,11/30/2021,28707770,16849172,52.762,30.967,11858598,21.795,2
Namibia,NAM,AFRO,REPORTING,12/3/2021,596748,387102,23.486,15.235,325896,12.826,4
Cuba,CUB,AMRO,REPORTING,12/10/2021,28822131,10207648,254.464,90.121,9331520,82.386,3
China,CHN,WPRO,REPORTING,12/11/2021,2627703000,1240438313,178.599,84.31,1089898616,74.078,8
Marshall Islands,MHL,WPRO,REPORTING,12/7/2021,46001,25336,77.712,42.802,22246,37.582,3
Costa Rica,CRI,AMRO,REPORTING,12/10/2021,7222020,3904671,141.772,76.651,3278289,64.354,2
Cambodia,KHM,WPRO,REPORTING,12/10/2021,29426116,14198740,176.004,84.926,13541484,80.995,5
Benin,BEN,AFRO,REPORTING,12/12/2021,1425408,1363471,11.758,11.247,1062378,8.763,5
Iran (Islamic Republic of),IRN,EMRO,REPORTING,12/12/2021,109807742,58569046,130.734,69.731,49150330,58.517,6
Niger,NER,AFRO,REPORTING,11/28/2021,971636,507223,4.014,2.095,464413,1.919,2
Dominica,DMA,AMRO,REPORTING,12/10/2021,56179,29064,78.036,40.372,27115,37.664,4
American Samoa,ASM,WPRO,REPORTING,12/7/2021,70933,37708,128.509,68.315,31477,57.027,3
Samoa,WSM,WPRO,REPORTING,12/11/2021,262895,141356,132.498,71.243,121539,61.255,1
United Arab Emirates,ARE,EMRO,REPORTING,12/14/2021,22206569,N/A,224.526,N/A,N/A,N/A,5
Uganda,UGA,AFRO,REPORTING,12/9/2021,7813170,6525371,17.081,14.266,1287799,2.815,5
United Republic of Tanzania,TZA,AFRO,REPORTING,12/6/2021,1699523,1592897,2.845,2.667,1078102,1.805,3
Lao People's Democratic Republic,LAO,WPRO,REPORTING,11/23/2021,5830021,3744740,80.132,51.47,3099003,42.595,8
Sudan,SDN,EMRO,REPORTING,12/14/2021,3103997,2605516,7.079,5.942,1249944,2.851,5
Saint Kitts and Nevis,KNA,AMRO,REPORTING,12/10/2021,53486,27358,100.553,51.433,25165,47.31,3
Suriname,SUR,AMRO,REPORTING,12/10/2021,496045,259391,84.558,44.217,223353,38.074,5
South Africa,ZAF,AFRO,REPORTING,12/13/2021,26730975,18379697,45.071,30.99,15357823,25.895,2
Senegal,SEN,AFRO,REPORTING,12/15/2021,1935841,1339895,11.561,8.002,942123,5.627,3
Angola,AGO,AFRO,REPORTING,12/6/2021,10018061,6737721,30.481,20.5,3280340,9.981,1
Papua New Guinea,PNG,WPRO,REPORTING,12/9/2021,374571,282163,4.187,3.154,215437,2.408,4
Cameroon,CMR,AFRO,REPORTING,12/14/2021,986281,806176,3.715,3.037,627046,2.362,4
Zambia,ZMB,AFRO,REPORTING,11/18/2021,985443,806611,5.36,4.388,626900,3.41,3
Tunisia,TUN,EMRO,REPORTING,12/9/2021,12096838,7467980,102.354,63.188,5306722,44.901,7
Sint Maarten,SXM,AMRO,REPORTING,12/10/2021,52038,27030,121.352,63.033,25008,58.318,3
Ghana,GHA,AFRO,REPORTING,12/7/2021,3162666,4332334,10.178,13.942,1565507,5.038,2
Rwanda,RWA,AFRO,REPORTING,12/8/2021,9500993,6190614,73.354,47.796,3639978,28.103,7
Australia,AUS,WPRO,REPORTING,12/12/2021,40189797,20208813,157.608,79.251,19271471,75.575,3
Zimbabwe,ZWE,AFRO,REPORTING,12/16/2021,7012555,3999170,47.182,26.907,3013385,20.275,4
Sierra Leone,SLE,AFRO,REPORTING,12/16/2021,923880,747044,11.582,9.365,385232,4.829,2
United States of America,USA,AMRO,REPORTING,12/10/2021,465812616,236910243,140.728,71.574,196027546,59.222,3
Turks and Caicos Islands,TCA,AMRO,REPORTING,12/10/2021,56343,29210,145.521,75.443,27133,70.079,1
Yemen,YEM,EMRO,REPORTING,12/2/2021,786027,556652,2.635,1.866,366587,1.229,3
Chile,CHL,AMRO,REPORTING,12/10/2021,41980081,16959849,219.605,88.72,16285511,85.192,4
Tonga,TON,WPRO,REPORTING,12/13/2021,130236,73609,123.219,69.643,56627,53.576,2
Lesotho,LSO,AFRO,REPORTING,12/16/2021,688097,648817,32.12,30.287,641007,29.922,3
Micronesia (Federated States of),FSM,WPRO,REPORTING,12/7/2021,80217,48006,69.74,41.736,42937,37.329,4
Malaysia,MYS,WPRO,REPORTING,12/10/2021,54581960,25897483,168.64,80.014,25275859,78.094,5
New Caledonia,NCL,WPRO,REPORTING,12/10/2021,354333,182049,124.111,63.765,172284,60.345,2
Tuvalu,TUV,WPRO,REPORTING,10/22/2021,12114,6230,102.731,52.832,5884,49.898,1
Guatemala,GTM,AMRO,REPORTING,12/10/2021,10449382,6181690,58.326,34.505,4267692,23.821,5
Egypt,EGY,EMRO,REPORTING,12/14/2021,47838944,30505670,46.748,29.81,18205046,17.79,6
Solomon Islands,SLB,WPRO,REPORTING,12/10/2021,235918,179973,34.346,26.201,55945,8.145,3
Togo,TGO,AFRO,REPORTING,12/10/2021,2159257,1349188,26.082,16.297,810069,9.785,1
Wallis and Futuna,WLF,WPRO,REPORTING,11/26/2021,11939,6016,106.162,53.495,5923,52.668,1
Saba,XCA,AMRO,REPORTING,12/10/2021,3131,N/A,161.976,N/A,1557,80.548,N/A
Paraguay,PRY,AMRO,REPORTING,12/10/2021,6324638,3414571,88.673,47.873,2768880,38.82,8
Brazil,BRA,AMRO,REPORTING,12/10/2021,315180274,159609213,148.279,75.089,140517221,66.107,5
Peru,PER,AMRO,REPORTING,12/10/2021,44517892,23225224,135.018,70.44,19592136,59.421,3
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,12/3/2021,85020,40597,147.714,70.534,37276,64.764,3
Sao Tome and Principe,STP,AFRO,REPORTING,12/13/2021,137612,86396,62.791,39.422,51216,23.369,2
Bahrain,BHR,EMRO,REPORTING,12/15/2021,3065753,1193660,180.171,70.15,1166844,68.574,8
Guam,GUM,WPRO,REPORTING,12/7/2021,276082,137181,163.58,81.28,124588,73.819,3
Gabon,GAB,AFRO,REPORTING,12/13/2021,392898,219775,17.653,9.874,173123,7.778,3
Dominican Republic,DOM,AMRO,REPORTING,12/10/2021,13925779,6904694,128.373,63.65,5645204,52.04,3
Guadeloupe,GLP,AMRO,REPORTING,12/10/2021,272920,136191,68.209,34.037,126889,31.712,5
Hungary,HUN,EURO,REPORTING,12/12/2021,14758707,6135168,151.1,62.799,5637943,59.858,7
Estonia,EST,EURO,REPORTING,12/12/2021,1761258,830546,132.5,62.495,711569,59.092,4
Belarus,BLR,EURO,REPORTING,12/12/2021,7217727,4064247,76.4,43.011,3039334,32.165,2
Slovenia,SVN,EURO,REPORTING,12/12/2021,2612060,1229473,124.6,58.662,1034064,55.84,4
Switzerland,CHE,EURO,REPORTING,12/12/2021,11346719,5910235,131.1,68.675,5436484,63.702,3
Uzbekistan,UZB,EURO,REPORTING,12/12/2021,33479145,16893118,100,50.474,11102403,27.75,6
Kazakhstan,KAZ,EURO,REPORTING,12/12/2021,18077909,9016977,96.3,48.022,9060932,48.256,5
Finland,FIN,EURO,REPORTING,12/12/2021,8938620,4322199,161.8,78.226,4084341,73.921,4
France,FRA,EURO,REPORTING,12/12/2021,113712660,52293276,168.9,77.678,47001397,71.381,4
Belgium,BEL,EURO,REPORTING,12/12/2021,19900699,8863641,172.7,76.925,8318746,75.831,4
Poland,POL,EURO,REPORTING,12/12/2021,44371063,21267597,116.9,56.029,18202926,54.614,4
Georgia,GEO,EURO,REPORTING,12/12/2021,2130794,1152457,53.4,28.89,950584,23.829,4
Ireland,IRL,EURO,REPORTING,12/12/2021,8663229,3874423,174.5,78.044,3576487,76.808,4
Malta,MLT,EURO,REPORTING,12/5/2021,927209,425348,180.2,82.662,388650,81.669,4
Kosovo,XKX,EURO,REPORTING,11/28/2021,1614212,853209,89.9,47.515,761003,42.38,2
Italy,ITA,EURO,REPORTING,12/12/2021,101290149,47281221,169.8,79.28,42429729,73.617,4
Croatia,HRV,EURO,REPORTING,12/12/2021,4390720,2226578,108.2,54.91,1858516,50.296,4
Portugal,PRT,EURO,REPORTING,12/12/2021,18627964,9162022,180.9,89.025,7315995,82.007,4
Azerbaijan,AZE,EURO,REPORTING,12/12/2021,10623255,5131132,104.8,50.607,4458495,43.973,4
